,-1,-0.3,0,0.3,1,MEMO
1.025|-1.2|1.005|-2.4|0.994|-3.3|1.008|-1.9|0.980|-2.4|,-6.93E-05,-5.45E-06,-7.94E-07,-8.47E-07,-5.86E-07,1
1.026|-1.2|1.006|-2.4|0.994|-3.3|1.009|-1.9|0.980|-2.4|,0,0,1.75E-06,-5.81E-07,-2.19E-06,1
1.024|-1.2|1.004|-2.4|0.993|-3.3|1.007|-1.9|0.979|-2.4|,-2.72E-06,0,0,0,0,1
1.024|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.979|-2.4|,0,0,0,0,1.57E-06,1
1.025|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.979|-2.4|,0,0,0,-5.81E-07,0,1
1.025|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.980|-2.4|,-8.52E-07,0,2.06E-05,0,0,1
1.024|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.980|-2.4|,0,-6.86E-07,0,0,0,1
1.023|-1.2|1.004|-2.4|0.992|-3.3|1.007|-1.9|0.980|-2.4|,0,0,-7.03E-07,0,2.30E-06,1
1.024|-1.2|1.005|-2.4|0.993|-3.3|1.008|-1.9|0.980|-2.4|,0,0,0,0,-2.71E-07,1
1.026|-1.2|1.007|-2.5|0.995|-3.3|1.009|-2.0|0.980|-2.4|,0,0,-1.36E-06,0,-7.41E-07,1
1.027|-1.2|1.006|-2.4|0.993|-3.2|1.010|-2.0|0.980|-2.4|,0,5.89E-06,-4.68E-06,0,0,1
1.027|-1.2|1.006|-2.4|0.993|-3.2|1.009|-2.0|0.980|-2.4|,9.44E-06,0,0,0,-5.28E-06,1
1.028|-1.2|1.007|-2.4|0.994|-3.3|1.010|-2.0|0.980|-2.4|,0,2.98E-06,0,0,0,1
1.026|-1.2|1.005|-2.4|0.992|-3.2|1.009|-2.0|0.980|-2.4|,2.25E-05,7.85E-07,0,-5.85E-07,-2.69E-06,1
1.025|-1.2|1.004|-2.4|0.991|-3.2|1.008|-1.9|0.980|-2.4|,-4.49E-06,-6.48E-06,-2.97E-05,7.88E-06,-9.75E-05,1
1.025|-1.2|1.003|-2.4|0.990|-3.2|1.008|-1.9|0.980|-2.4|,-3.54E-06,3.03E-06,-4.47E-06,-6.18E-06,-7.23E-07,1
1.024|-1.2|1.002|-2.4|0.989|-3.2|1.007|-1.9|0.980|-2.4|,-3.01E-06,-8.23E-07,0,0,2.00E-06,1
1.023|-1.2|1.002|-2.4|0.989|-3.2|1.007|-1.9|0.980|-2.4|,0,0,0,0,0.000210303,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.008|-1.9|0.980|-2.4|,-4.86E-06,-8.10E-07,-2.89E-06,-2.32E-06,8.30E-06,1
1.026|-1.2|1.004|-2.4|0.991|-3.2|1.009|-2.0|0.980|-2.4|,5.06E-06,0,0,-2.06E-07,0,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.007|-1.9|0.980|-2.4|,-5.58E-06,-5.63E-07,0,5.95E-07,-4.72E-07,1
1.023|-1.2|1.001|-2.4|0.988|-3.2|1.007|-1.9|0.979|-2.4|,-4.70E-06,0,0,-2.04E-06,0,1
1.023|-1.2|1.002|-2.4|0.989|-3.2|1.007|-1.9|0.979|-2.4|,-4.36E-06,0,0.000276745,1.95E-06,0,1
1.022|-1.2|1.001|-2.4|0.988|-3.2|1.006|-1.9|0.979|-2.4|,-6.09E-06,0,-1.94E-09,3.17E-06,0,1
1.021|-1.1|1.000|-2.3|0.987|-3.2|1.005|-1.9|0.979|-2.4|,0,-8.26E-06,0,0,0,1
1.021|-1.1|0.999|-2.3|0.986|-3.2|1.005|-1.9|0.979|-2.4|,0,0,-1.15E-05,0,0,1
1.021|-1.1|0.999|-2.3|0.986|-3.2|1.006|-1.9|0.979|-2.4|,0,0,0,0,1.87E-05,1
1.022|-1.2|1.000|-2.4|0.987|-3.2|1.006|-1.9|0.979|-2.4|,0,-1.98E-06,-8.26E-08,0,2.59E-06,1
1.021|-1.1|1.000|-2.4|0.987|-3.2|1.006|-1.9|0.979|-2.4|,0,0,6.32E-06,0,3.28E-06,1
1.023|-1.2|1.001|-2.4|0.988|-3.2|1.006|-1.9|0.979|-2.4|,0,0,-1.69E-06,1.61E-05,0,1
1.023|-1.2|1.002|-2.4|0.989|-3.2|1.006|-1.9|0.979|-2.4|,0,-1.02E-05,0,0,6.42E-06,1
1.026|-1.2|1.005|-2.4|0.992|-3.2|1.009|-1.9|0.980|-2.4|,0,-3.93E-05,0,-5.14E-07,-5.07E-06,1
1.026|-1.2|1.004|-2.4|0.991|-3.2|1.009|-1.9|0.980|-2.4|,-3.48E-07,0,0,-3.48E-07,-1.80E-06,1
1.027|-1.2|1.005|-2.4|0.992|-3.2|1.009|-2.0|0.980|-2.4|,1.39E-06,0,0,-7.09E-07,-3.54E-06,1
1.028|-1.2|1.006|-2.4|0.993|-3.2|1.010|-2.0|0.980|-2.4|,0,0,0,-1.40E-06,0,1
1.028|-1.2|1.007|-2.4|0.994|-3.2|1.010|-2.0|0.980|-2.4|,1.02E-05,0,0,0,0,1
1.025|-1.2|1.003|-2.4|0.990|-3.2|1.008|-1.9|0.979|-2.4|,-2.08E-06,0,0,0,0,1
1.024|-1.2|1.002|-2.4|0.989|-3.2|1.007|-1.9|0.979|-2.4|,0,-8.12E-07,0,6.02E-07,0,1
1.026|-1.2|1.005|-2.4|0.992|-3.2|1.008|-1.9|0.980|-2.4|,1.04E-05,0,0,4.42E-06,0,1
1.026|-1.2|1.004|-2.4|0.991|-3.2|1.008|-1.9|0.980|-2.4|,-7.18E-05,-3.37E-06,-2.36E-06,-2.32E-07,-4.39E-06,1
1.027|-1.2|1.005|-2.4|0.992|-3.2|1.008|-1.9|0.980|-2.4|,2.06E-06,6.86E-07,1.08E-06,-1.57E-06,0,1
1.027|-1.2|1.006|-2.4|0.993|-3.2|1.009|-1.9|0.980|-2.4|,0,3.36E-06,0,0,0,1
1.027|-1.2|1.006|-2.4|0.993|-3.2|1.008|-1.9|0.980|-2.4|,0,-1.19E-06,0,0,0,1
1.025|-1.2|1.004|-2.4|0.991|-3.2|1.007|-1.9|0.980|-2.4|,-7.03E-06,-4.66E-07,7.46E-05,-8.33E-08,-2.98E-07,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.006|-1.9|0.980|-2.4|,-4.45E-06,-4.38E-06,0,-3.54E-06,4.80E-06,1
1.023|-1.2|1.001|-2.4|0.989|-3.2|1.006|-1.9|0.979|-2.4|,0,0,0,0,1.25E-05,1
1.026|-1.2|1.004|-2.4|0.992|-3.2|1.008|-1.9|0.980|-2.4|,5.05E-07,0,0,0,0,1
1.025|-1.2|1.003|-2.4|0.990|-3.2|1.007|-1.9|0.980|-2.4|,-1.52E-06,-1.94E-07,0,2.54E-06,-3.36E-07,1
1.024|-1.2|1.002|-2.4|0.989|-3.2|1.006|-1.9|0.980|-2.4|,-3.48E-06,0,-2.33E-07,0,0,1
1.027|-1.2|1.005|-2.4|0.992|-3.2|1.009|-1.9|0.980|-2.4|,4.06E-06,0,-2.36E-07,0,0,1
1.025|-1.2|1.004|-2.4|0.991|-3.2|1.009|-2.0|0.980|-2.4|,0,3.44E-06,0,-1.93E-07,-3.47E-06,1
1.025|-1.2|1.004|-2.4|0.991|-3.2|1.008|-2.0|0.980|-2.4|,-2.57E-06,0.000241513,-2.84E-05,-3.99E-06,-4.06E-06,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.008|-1.9|0.979|-2.4|,-1.41E-06,-6.02E-07,0,0,0,1
1.025|-1.2|1.003|-2.4|0.990|-3.2|1.008|-2.0|0.980|-2.4|,0,1.83E-07,0,0,0,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.008|-2.0|0.980|-2.4|,-2.56E-06,-2.14E-07,0,-3.36E-07,-1.02E-06,1
1.026|-1.2|1.005|-2.4|0.992|-3.2|1.009|-2.0|0.981|-2.4|,6.45E-06,0,0,0,0,1
1.025|-1.2|1.004|-2.4|0.991|-3.2|1.008|-2.0|0.981|-2.4|,0,3.12E-06,-3.19E-06,-5.73E-07,-4.04E-07,1
1.025|-1.2|1.004|-2.4|0.991|-3.2|1.009|-2.0|0.981|-2.4|,0,2.24E-06,0,0,0,1
