,-1,-0.3,0,0.3,1,MEMO
1.004|-1.7|0.996|-2.8|0.982|-2.3|,-9.54E-06,0,-1.02E-08,2.65E-06,8.66E-05,3
1.003|-1.6|0.996|-2.7|0.982|-2.3|,-1.40E-05,-4.29E-06,-3.00E-07,6.53E-06,0,3
1.003|-1.6|0.996|-2.7|0.981|-2.3|,0,-8.46E-06,0,4.02E-06,0,17
1.002|-1.6|0.996|-2.7|0.981|-2.3|,0,0,0,0,2.86E-05,2
1.002|-1.6|0.995|-2.7|0.981|-2.3|,-2.00E-05,-9.68E-06,-7.20E-10,2.77E-05,0,220
1.001|-1.6|0.995|-2.7|0.981|-2.3|,0,0,0,-0.000145539,0,25
1.001|-1.6|0.996|-2.7|0.981|-2.3|,0,-3.82E-06,0,0,0,18
1.003|-1.6|0.996|-2.8|0.981|-2.3|,-1.76E-05,0,0,0,1.73E-05,40
1.005|-1.7|0.996|-2.8|0.982|-2.3|,-5.59E-05,-6.89E-07,3.53E-07,2.28E-06,-7.59E-06,2
1.006|-1.7|0.997|-2.8|0.982|-2.3|,0,3.73E-05,-1.49E-06,-8.24E-08,0,10
1.004|-1.7|0.996|-2.8|0.981|-2.3|,0,0,0,0,3.70E-06,7
1.004|-1.7|0.997|-2.8|0.982|-2.3|,-7.80E-06,-1.66E-06,0,0,0,12
1.005|-1.7|0.997|-2.8|0.983|-2.3|,-6.22E-06,-2.96E-07,8.79E-09,1.97E-05,-2.63E-06,4
1.006|-1.7|0.997|-2.8|0.983|-2.4|,-1.22E-06,-5.34E-08,-9.00E-05,-2.27E-07,-4.98E-06,33
1.006|-1.7|0.997|-2.8|0.984|-2.4|,3.23E-06,0,0,0,0,12
1.004|-1.6|0.996|-2.7|0.982|-2.3|,0,-6.78E-06,-7.00E-08,1.28E-05,0,62
1.004|-1.6|0.997|-2.7|0.983|-2.3|,0,0,2.11E-07,0,5.93E-06,10
1.004|-1.6|0.996|-2.7|0.983|-2.3|,0,0,0,0,5.26E-06,66
1.005|-1.7|0.997|-2.7|0.983|-2.3|,-6.77E-06,-4.43E-06,-1.91E-08,-2.27E-05,1.07E-05,117
1.006|-1.7|0.998|-2.8|0.983|-2.3|,-3.24E-06,6.34E-06,-4.73E-06,-9.14E-06,-1.28E-05,1
1.005|-1.6|0.997|-2.7|0.983|-2.3|,0,0,0,0,1.26E-05,2
1.004|-1.6|0.995|-2.7|0.983|-2.3|,-1.04E-05,0,0,0,0,8
1.003|-1.6|0.995|-2.7|0.982|-2.3|,0,-3.66E-06,0,6.79E-06,0,28
1.005|-1.6|0.996|-2.7|0.983|-2.3|,0,0,-1.10E-06,5.60E-06,0,1
1.004|-1.6|0.997|-2.8|0.982|-2.3|,-1.13E-05,0,-4.78E-07,0,4.41E-05,22
1.003|-1.6|0.997|-2.8|0.982|-2.3|,0,0,0,6.22E-06,0,40
1.005|-1.7|0.998|-2.8|0.982|-2.3|,-1.45E-05,-1.61E-06,-1.12E-05,-2.61E-07,3.85E-05,2
1.005|-1.6|0.998|-2.8|0.982|-2.3|,0,-1.10E-06,0,-4.37E-07,-1.72E-05,81
1.007|-1.7|0.999|-2.8|0.983|-2.3|,1.26E-05,0,0,-2.12E-06,-1.45E-05,11
1.007|-1.7|0.998|-2.8|0.983|-2.3|,4.25E-06,8.93E-06,0,0,0,71
1.005|-1.7|0.998|-2.8|0.983|-2.3|,0,-9.28E-07,6.59E-08,-5.66E-05,0,4
1.008|-1.8|0.999|-2.8|0.984|-2.3|,0,0,4.55E-06,0,0,2
1.008|-1.8|0.999|-2.8|0.984|-2.4|,1.27E-05,0,-7.42E-07,0,0,10
1.006|-1.7|0.998|-2.8|0.982|-2.3|,6.85E-05,-2.49E-06,-4.80E-08,-2.94E-06,-4.19E-06,3
1.004|-1.6|0.998|-2.8|0.982|-2.3|,-2.03E-05,0,4.20E-06,-9.43E-05,0,2
1.003|-1.6|0.997|-2.8|0.981|-2.3|,-1.25E-05,-4.18E-06,8.99E-07,2.08E-05,0,30
1.002|-1.6|0.997|-2.8|0.981|-2.3|,0,-4.92E-06,0,0,1.50E-05,2
1.002|-1.6|0.997|-2.7|0.981|-2.3|,0,0,0,9.79E-06,0,41
1.004|-1.6|0.997|-2.8|0.981|-2.3|,0,0,0,4.75E-06,0,1
1.003|-1.6|0.998|-2.8|0.981|-2.3|,-1.33E-05,0,0,0,0,1
